tile.end_rod.name block.minecraft.end_rod
tile.coral_fan_dead.blue_fan.name block.minecraft.dead_tube_coral_fan
tile.coral.pink_dead.name block.minecraft.dead_brain_coral
tile.coral.blue_dead.name block.minecraft.dead_tube_coral
tile.torch.name block.minecraft.torch
tile.dark_oak_trapdoor.name block.minecraft.dark_oak_trapdoor
tile.sea_pickle.name block.minecraft.sea_pickle
tile.coral.yellow.name block.minecraft.horn_coral
tile.coral_fan.yellow_fan.name block.minecraft.horn_coral_fan
tile.coral.yellow_dead.name block.minecraft.dead_horn_coral
tile.coral_fan.red_fan.name block.minecraft.fire_coral_fan
tile.coral_fan.purple_fan.name block.minecraft.bubble_coral_fan
tile.tnt.name block.minecraft.tnt
tile.trapdoor.name block.minecraft.oak_trapdoor
tile.coral_fan_dead.purple_fan.name block.minecraft.dead_bubble_coral_fan
tile.jungle_trapdoor.name block.minecraft.jungle_trapdoor
tile.twisting_vines.name block.minecraft.twisting_vines
tile.vine.name block.minecraft.vine
tile.coral_fan.pink_fan.name block.minecraft.brain_coral_fan
tile.acacia_trapdoor.name block.minecraft.acacia_trapdoor
tile.coral_fan_dead.red_fan.name block.minecraft.dead_fire_coral_fan
tile.coral_fan_dead.pink_fan.name block.minecraft.dead_brain_coral_fan
tile.tripWire.name block.minecraft.tripwire
tile.birch_trapdoor.name block.minecraft.birch_trapdoor
tile.waterlily.name block.minecraft.lily_pad
tile.spruce_trapdoor.name block.minecraft.spruce_trapdoor
tile.water.name block.minecraft.water
tile.tripwire_hook.name block.minecraft.tripwire_hook
tile.weeping_vines.name block.minecraft.weeping_vines
tile.web.name block.minecraft.cobweb
tile.flowing_water.name block.minecraft.water
tile.carpet.blue.name block.minecraft.blue_carpet
tile.end_stone.name block.minecraft.end_stone
tile.carpet.gray.name block.minecraft.gray_carpet
tile.carpet.black.name block.minecraft.black_carpet
tile.end_bricks.name block.minecraft.end_stone_bricks
tile.carpet.lime.name block.minecraft.lime_carpet
tile.carpet.green.name block.minecraft.green_carpet
tile.carpet.cyan.name block.minecraft.cyan_carpet
tile.carpet.lightBlue.name block.minecraft.light_blue_carpet
tile.carpet.magenta.name block.minecraft.magenta_carpet
tile.carpet.yellow.name block.minecraft.yellow_carpet
tile.carpet.pink.name block.minecraft.pink_carpet
tile.carpet.brown.name block.minecraft.brown_carpet
tile.carpet.orange.name block.minecraft.orange_carpet
tile.glazedTerracotta.orange.name block.minecraft.orange_glazed_terracotta
tile.carpet.purple.name block.minecraft.purple_carpet
tile.carpet.red.name block.minecraft.red_carpet
tile.glazedTerracotta.white.name block.minecraft.white_glazed_terracotta
tile.crafting_table.name block.minecraft.crafting_table
tile.carpet.silver.name block.minecraft.light_gray_carpet
tile.carpet.white.name block.minecraft.white_carpet
tile.glazedTerracotta.silver.name block.minecraft.light_gray_glazed_terracotta
tile.glazedTerracotta.yellow.name block.minecraft.yellow_glazed_terracotta
tile.glazedTerracotta.magenta.name block.minecraft.magenta_glazed_terracotta
tile.glazedTerracotta.lime.name block.minecraft.lime_glazed_terracotta
tile.glazedTerracotta.gray.name block.minecraft.gray_glazed_terracotta
tile.glazedTerracotta.pink.name block.minecraft.pink_glazed_terracotta
tile.glazedTerracotta.cyan.name block.minecraft.cyan_glazed_terracotta
tile.glazedTerracotta.light_blue.name block.minecraft.light_blue_glazed_terracotta
tile.glazedTerracotta.purple.name block.minecraft.purple_glazed_terracotta
tile.glazedTerracotta.red.name block.minecraft.red_glazed_terracotta
tile.glazedTerracotta.green.name block.minecraft.green_glazed_terracotta
tile.concrete.black.name block.minecraft.black_concrete
tile.glazedTerracotta.brown.name block.minecraft.brown_glazed_terracotta
tile.glazedTerracotta.blue.name block.minecraft.blue_glazed_terracotta
tile.concrete.red.name block.minecraft.red_concrete
tile.glazedTerracotta.black.name block.minecraft.black_glazed_terracotta
tile.concrete.pink.name block.minecraft.pink_concrete
tile.concrete.yellow.name block.minecraft.yellow_concrete
tile.concrete.gray.name block.minecraft.gray_concrete
tile.concrete.silver.name block.minecraft.light_gray_concrete
tile.concrete.brown.name block.minecraft.brown_concrete
tile.concrete.cyan.name block.minecraft.cyan_concrete
tile.concrete.green.name block.minecraft.green_concrete
tile.concrete.blue.name block.minecraft.blue_concrete
tile.concrete.lightBlue.name block.minecraft.light_blue_concrete
tile.concrete.white.name block.minecraft.white_concrete
tile.concrete.purple.name block.minecraft.purple_concrete
tile.concrete.orange.name block.minecraft.orange_concrete
tile.concrete.lime.name block.minecraft.lime_concrete
tile.concrete.magenta.name block.minecraft.magenta_concrete
tile.glazedTerracottaWhite.name block.minecraft.white_glazed_terracotta
tile.glazedTerracottaLightBlue.name block.minecraft.light_blue_glazed_terracotta
tile.glazedTerracottaOrange.name block.minecraft.orange_glazed_terracotta
tile.glazedTerracottaPink.name block.minecraft.pink_glazed_terracotta
tile.glazedTerracottaCyan.name block.minecraft.cyan_glazed_terracotta
tile.glazedTerracottaMagenta.name block.minecraft.magenta_glazed_terracotta
tile.glazedTerracottaPurple.name block.minecraft.purple_glazed_terracotta
tile.glazedTerracottaYellow.name block.minecraft.yellow_glazed_terracotta
tile.glazedTerracottaLime.name block.minecraft.lime_glazed_terracotta
tile.concretePowder.red.name block.minecraft.red_concrete_powder
tile.glazedTerracottaGreen.name block.minecraft.green_glazed_terracotta
tile.glazedTerracottaBrown.name block.minecraft.brown_glazed_terracotta
tile.concretePowder.blue.name block.minecraft.blue_concrete_powder
tile.glazedTerracottaBlue.name block.minecraft.blue_glazed_terracotta
tile.glazedTerracottaSilver.name block.minecraft.light_gray_glazed_terracotta
tile.glazedTerracottaGray.name block.minecraft.gray_glazed_terracotta
tile.concretePowder.lime.name block.minecraft.lime_concrete_powder
tile.concretePowder.green.name block.minecraft.green_concrete_powder
tile.concretePowder.purple.name block.minecraft.purple_concrete_powder
tile.concretePowder.black.name block.minecraft.black_concrete_powder
tile.glazedTerracottaRed.name block.minecraft.red_glazed_terracotta
tile.glazedTerracottaBlack.name block.minecraft.black_glazed_terracotta
tile.concretePowder.brown.name block.minecraft.brown_concrete_powder
tile.concretePowder.silver.name block.minecraft.light_gray_concrete_powder
tile.concretePowder.pink.name block.minecraft.pink_concrete_powder
tile.concretePowder.cyan.name block.minecraft.cyan_concrete_powder
tile.stripped_spruce_log.name block.minecraft.stripped_spruce_log
tile.concretePowder.gray.name block.minecraft.gray_concrete_powder
tile.concretePowder.orange.name block.minecraft.orange_concrete_powder
tile.concretePowder.yellow.name block.minecraft.yellow_concrete_powder
tile.concretePowder.lightBlue.name block.minecraft.light_blue_concrete_powder
tile.scaffolding.name block.minecraft.scaffolding
tile.stripped_acacia_log.name block.minecraft.stripped_acacia_log
tile.loom.name block.minecraft.loom
tile.concretePowder.magenta.name block.minecraft.magenta_concrete_powder
tile.barrel.name block.minecraft.barrel
tile.stripped_oak_log.name block.minecraft.stripped_oak_log
tile.campfire.name block.minecraft.campfire
tile.lantern.name block.minecraft.lantern
tile.concretePowder.white.name block.minecraft.white_concrete_powder
tile.grindstone.name block.minecraft.grindstone
tile.wood.dark_oak.name block.minecraft.dark_oak_wood
tile.smoker.name block.minecraft.smoker
tile.stripped_jungle_log.name block.minecraft.stripped_jungle_log
tile.bamboo.name block.minecraft.bamboo
tile.stripped_birch_log.name block.minecraft.stripped_birch_log
tile.smithing_table.name block.minecraft.smithing_table
tile.wood.birch.name block.minecraft.birch_wood
tile.cartography_table.name block.minecraft.cartography_table
tile.lectern.name block.minecraft.lectern
tile.wood.oak.name block.minecraft.oak_wood
tile.stripped_dark_oak_log.name block.minecraft.stripped_dark_oak_log
tile.wood.jungle.name block.minecraft.jungle_wood
tile.soul_lantern.name block.minecraft.soul_lantern
tile.sweet_berry_bush.name block.minecraft.sweet_berry_bush
tile.wood.spruce.name block.minecraft.spruce_wood
tile.wood.stripped.spruce.name block.minecraft.stripped_spruce_wood
tile.netherite_block.name block.minecraft.netherite_block
tile.ancient_debris.name block.minecraft.ancient_debris
tile.wood.stripped.jungle.name block.minecraft.stripped_jungle_wood
tile.respawn_anchor.name block.minecraft.respawn_anchor
tile.wood.acacia.name block.minecraft.acacia_wood
tile.wood.stripped.birch.name block.minecraft.stripped_birch_wood
tile.crying_obsidian.name block.minecraft.crying_obsidian
tile.wood.stripped.oak.name block.minecraft.stripped_oak_wood
tile.dripstone_block.name block.minecraft.dripstone_block
tile.wood.stripped.dark_oak.name block.minecraft.stripped_dark_oak_wood
tile.wood.stripped.acacia.name block.minecraft.stripped_acacia_wood
tile.deepslate.name block.minecraft.deepslate
tile.polished_deepslate.name block.minecraft.polished_deepslate
tile.nether_gold_ore.name block.minecraft.nether_gold_ore
tile.cobbled_deepslate.name block.minecraft.cobbled_deepslate
tile.infested_deepslate.name block.minecraft.infested_deepslate
tile.polished_deepslate_stairs.name block.minecraft.polished_deepslate_stairs
tile.powder_snow.name block.minecraft.powder_snow
tile.chiseled_deepslate.name block.minecraft.chiseled_deepslate
tile.deepslate_brick_slab.name block.minecraft.deepslate_brick_slab
tile.cobbled_deepslate_wall.name block.minecraft.cobbled_deepslate_wall
tile.deepslate_tile_wall.name block.minecraft.deepslate_tile_wall
tile.cobbled_deepslate_slab.name block.minecraft.cobbled_deepslate_slab
tile.deepslate_tile_slab.name block.minecraft.deepslate_tile_slab
tile.pointed_dripstone.name block.minecraft.pointed_dripstone
tile.deepslate_brick_stairs.name block.minecraft.deepslate_brick_stairs
tile.deepslate_tile_stairs.name block.minecraft.deepslate_tile_stairs
tile.deepslate_bricks.name block.minecraft.deepslate_bricks
tile.polished_deepslate_slab.name block.minecraft.polished_deepslate_slab
tile.deepslate_gold_ore.name block.minecraft.deepslate_gold_ore
tile.deepslate_iron_ore.name block.minecraft.deepslate_iron_ore
tile.cobbled_deepslate_stairs.name block.minecraft.cobbled_deepslate_stairs
tile.deepslate_brick_wall.name block.minecraft.deepslate_brick_wall
tile.polished_deepslate_wall.name block.minecraft.polished_deepslate_wall
tile.deepslate_emerald_ore.name block.minecraft.deepslate_emerald_ore
tile.deepslate_redstone_ore.name block.minecraft.deepslate_redstone_ore
tile.deepslate_tiles.name block.minecraft.deepslate_tiles
tile.cracked_deepslate_bricks.name block.minecraft.cracked_deepslate_bricks
tile.deepslate_diamond_ore.name block.minecraft.deepslate_diamond_ore
tile.deepslate_copper_ore.name block.minecraft.deepslate_copper_ore
tile.exposed_copper.name block.minecraft.exposed_copper
tile.deepslate_coal_ore.name block.minecraft.deepslate_coal_ore
tile.waxed_weathered_copper.name block.minecraft.waxed_weathered_copper
tile.oxidized_copper.name block.minecraft.oxidized_copper
tile.copper_block.name block.minecraft.copper_block
tile.cracked_deepslate_tiles.name block.minecraft.cracked_deepslate_tiles
tile.waxed_exposed_copper.name block.minecraft.waxed_exposed_copper
tile.waxed_oxidized_cut_copper.name block.minecraft.waxed_oxidized_cut_copper
tile.cut_copper.name block.minecraft.cut_copper
tile.weathered_copper.name block.minecraft.weathered_copper
tile.waxed_copper.name block.minecraft.waxed_copper_block
tile.waxed_weathered_cut_copper.name block.minecraft.waxed_weathered_cut_copper
tile.waxed_cut_copper.name block.minecraft.waxed_cut_copper
tile.exposed_cut_copper.name block.minecraft.exposed_cut_copper
tile.oxidized_cut_copper_stairs.name block.minecraft.oxidized_cut_copper_stairs
tile.weathered_cut_copper.name block.minecraft.weathered_cut_copper
tile.waxed_cut_copper_stairs.name block.minecraft.waxed_cut_copper_stairs
tile.oxidized_cut_copper.name block.minecraft.oxidized_cut_copper
tile.waxed_oxidized_copper.name block.minecraft.waxed_oxidized_copper
tile.waxed_exposed_cut_copper.name block.minecraft.waxed_exposed_cut_copper
tile.weathered_cut_copper_stairs.name block.minecraft.weathered_cut_copper_stairs
tile.waxed_cut_copper_slab.name block.minecraft.waxed_cut_copper_slab
tile.oxidized_cut_copper_slab.name block.minecraft.oxidized_cut_copper_slab
tile.exposed_cut_copper_stairs.name block.minecraft.exposed_cut_copper_stairs
tile.exposed_cut_copper_slab.name block.minecraft.exposed_cut_copper_slab
tile.cut_copper_stairs.name block.minecraft.cut_copper_stairs
tile.waxed_exposed_cut_copper_slab.name block.minecraft.waxed_exposed_cut_copper_slab
tile.waxed_oxidized_cut_copper_stairs.name block.minecraft.waxed_oxidized_cut_copper_stairs
tile.waxed_exposed_cut_copper_stairs.name block.minecraft.waxed_exposed_cut_copper_stairs
tile.weathered_cut_copper_slab.name block.minecraft.weathered_cut_copper_slab
tile.waxed_weathered_cut_copper_stairs.name block.minecraft.waxed_weathered_cut_copper_stairs
tile.cut_copper_slab.name block.minecraft.cut_copper_slab
tile.waxed_oxidized_cut_copper_slab.name block.minecraft.waxed_oxidized_cut_copper_slab
tile.raw_gold_block.name block.minecraft.raw_gold_block
tile.raw_copper_block.name block.minecraft.raw_copper_block
tile.budding_amethyst.name block.minecraft.budding_amethyst
tile.amethyst_cluster.name block.minecraft.amethyst_cluster
tile.waxed_weathered_cut_copper_slab.name block.minecraft.waxed_weathered_cut_copper_slab
tile.tuff.name block.minecraft.tuff
tile.raw_iron_block.name block.minecraft.raw_iron_block
tile.medium_amethyst_bud.name block.minecraft.medium_amethyst_bud
tile.small_amethyst_bud.name block.minecraft.small_amethyst_bud
tile.smooth_basalt.name block.minecraft.smooth_basalt
tile.calcite.name block.minecraft.calcite
tile.large_amethyst_bud.name block.minecraft.large_amethyst_bud
tile.tinted_glass.name block.minecraft.tinted_glass
